,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
45,46,2002-11-08,NYMEX WTI Crude Oil,CL,petroleum,Long,125.81991638183594,2,760.0,38,5.98,1,2002-11-08,125.43992614746094,2.0,-760.0,-38.0,0.0,stop,2002-11-08,-760.0,-38,0.0,LOSE,125.43992614746094,125.43992614746094,0.0,0,0,-0.0,False
46,47,2002-11-11,CBOT Corn,C,grain,Long,484.0,2,192.0,8,5.98,1,2002-11-11,482.0,2.0,-192.0,-8.0,0.0,stop,2002-11-11,-192.0,-8,0.0,LOSE,482.0,482.0,0.0,0,0,-0.0,False
47,48,2002-11-11,NYMEX WTI Crude Oil,CL,petroleum,Long,126.39992248535157,2,1920.0,96,5.98,1,2002-11-13,125.43992614746094,2.0,-1920.0,-96.0,2.0,stop,2002-11-13,-1920.0,-96,2.0,LOSE,125.43992614746094,125.43992614746094,0.0,0,0,-0.0,False
48,49,2002-11-12,CBOT Corn,C,grain,Long,486.75,2,456.0,19,5.98,1,2002-11-25,489.25,2.0,240.0,10.0,13.0,exit,2002-11-25,240.0,10,13.0,WIN,489.25,482.0,-0.0,-29,0,0.0,False
49,50,2002-11-14,NYMEX WTI Crude Oil,CL,petroleum,Long,125.59992980957031,2,1160.0,58,5.98,1,2002-11-20,126.49992248535156,2.0,1800.0,90.0,6.0,exit,2002-11-20,1800.0,90,6.0,WIN,126.49992248535156,125.01994323730469,-0.0,-148,0,0.0,False
50,51,2002-12-12,NYMEX WTI Crude Oil,CL,petroleum,Long,128.5899609375,2,7140.0,357,5.98,1,2003-03-18,134.47994995117188,2.0,11780.0,589.0,96.0,stop,2003-03-18,11780.0,589,96.0,WIN,134.47994995117188,134.47994995117188,0.0,0,0,0.0,False
51,52,2002-12-19,CBOT Soybean Oil,BO,grain,Long,40.24000335693359,2,612.0,51,5.98,1,2002-12-30,39.730003356933594,2.0,-612.0,-51.0,11.0,stop,2002-12-30,-612.0,-51,11.0,LOSE,39.730003356933594,39.730003356933594,0.0,0,0,-0.0,False
52,53,2002-12-31,CBOT Soybean Oil,BO,grain,Long,39.72000366210938,2,408.0,34,5.98,1,2002-12-31,39.3800048828125,2.0,-408.0,-34.0,0.0,stop,2002-12-31,-408.0,-34,0.0,LOSE,39.3800048828125,39.3800048828125,0.0,0,0,-0.0,False
53,54,2003-01-02,CBOT Soybean Oil,BO,grain,Long,39.79000549316406,2,492.0,41,5.98,1,2003-01-07,39.3800048828125,2.0,-492.0,-41.0,5.0,stop,2003-01-07,-492.0,-41,5.0,LOSE,39.3800048828125,39.3800048828125,0.0,0,0,-0.0,False
54,55,2003-01-08,CBOT Soybean Oil,BO,grain,Long,39.74000030517578,2,660.0,55,5.98,1,2003-01-10,39.19000244140625,2.0,-660.0,-55.0,2.0,stop,2003-01-10,-660.0,-55,2.0,LOSE,39.19000244140625,39.19000244140625,0.0,0,0,-0.0,False
